State,Coal ,Natural Gas b,Crude Oil ,Nuclear Electric Power,Biofuels ,Other ,Total
Alabama,326.7,159.7,39.1,446.1,0,255.5,"1,227.20"
Alaska,14.4,382.7,"1,032.80",0,0,23.7,"1,453.50"
Arizona,134,0.1,0.1,338.2,6.8,141.9,621.1
Arkansas,0.8,721.3,30.3,132.7,0,109.4,994.6
California,0,236.8,996.4,187.2,29.8,"1,085.50","2,535.80"
Colorado,320,"2,002.80",748.2,0,17.3,133.5,"3,221.80"
Connecticut,0,0,0,172.6,0,32.3,204.9
Delaware,0,0,0,0,0,3.3,3.3
District of Columbia,0,0,0,0,0,1.3,1.3
Florida,0,1,11,304.8,0,237.5,554.4
Georgia,0,0,0,352.6,16.3,255.5,624.4
Hawaii,0,0,0,0,0,26.4,26.4
Idaho,0,4.2,0.5,0,8.2,163.1,175.9
Illinois,"1,079.60",2.3,47.6,"1,016.50",234.6,135.7,"2,516.30"
Indiana,713.4,6.2,10.2,0,159.8,89.8,979.3
Iowa,0,0,0,54.5,552,228.6,835.1
Kansas,0,251.6,205,111.4,68.4,179.1,815.5
Kentucky,"1,015.10",101.2,14.2,0,4.9,77.4,"1,212.90"
Louisiana,27.9,"2,237.20",297.7,161.2,0,232.5,"2,956.60"
Maine,0,0,0,0,0,152.7,152.7
Maryland,42.8,(s),0,158,0,55.4,256.3
Massachusetts,0,0,0,52.8,0,72.4,125.2
Michigan,0,103.2,30.4,338.7,46.6,182.6,701.5
Minnesota,0,0,0,145.4,160.6,199.2,505.2
Mississippi,32,39.7,101.8,77,7.4,59.7,317.5
Missouri,5.3,(s),0.6,86.9,34.9,55.8,183.5
Montana,624.8,50.6,118.5,0,0,136,929.8
Nebraska,0,0.5,12.2,72.3,293.4,66,444.3
Nevada,0,(s),1.6,0,0,98.2,99.8
New Hampshire,0,0,0,104.5,0,59.3,163.8
New Jersey,0,0,0,355.9,0,48,403.9
New Mexico,257.7,"1,498.70",981.2,0,0,67.5,"2,805.00"
New York,0,11.8,1.1,441,23.8,426.8,904.5
North Carolina,0,0,0,443.2,0,217.9,661.1
North Dakota,394,855.8,"2,244.10",0,65.2,132.3,"3,691.40"
Ohio,233.6,"1,989.00",108.4,185,74.7,79,"2,669.60"
Oklahoma,12.6,"2,934.20",949.6,0,0,263.5,"4,159.90"
Oregon,0,0.7,0,0,5.7,488.8,495.3
Pennsylvania,"1,260.50","5,798.20",37.6,870.2,15,186.5,"8,168.00"
Rhode Island,0,0,0,0,0,5.8,5.8
South Carolina,0,0,0,568.4,0,130.2,698.6
South Dakota,0,0.5,7.5,0,145.4,80.2,233.5
Tennessee,11.2,3.5,1.6,332.8,30.7,145.6,525.3
Texas,474.3,"8,626.30","7,282.90",403.5,53.1,733,"17,573.20"
Utah,317.8,346.2,195.8,0,0,53.3,913.1
Vermont,0,0,0,0,0,38,38
Virginia,343.6,121.6,(s),319.6,8.2,130.2,923.2
Washington,0,0,0,85,0,942.4,"1,027.50"
West Virginia,"2,390.30","1,931.70",54.2,0,0,41.8,"4,418.10"
Wisconsin,0,0,0,100.9,75.3,140,316.2
Wyoming,"5,516.80","1,782.70",433.1,0,0,56,"7,788.40"
,,,,,,,
Federal Offshore - Gulf of Mexico,—,"1,218.30","3,506.90",—,—,—,"4,725.20"
Federal Offshore - Pacific,—,(f),32.7,—,—,—,32.7
,,,,,,,
United States,"15,549.20","33,420.30","19,534.70","8,419.00","2,137.90","8,956.40","88,017.40"
United States,,,,,,,
