State,Population - 2019,Population - 2010,Total Energy Consumed - BTU
California,745514,702885,200
Texas,805441,698503,472
Florida,795472,696468,201
New York,720502,717707,188
Pennsylvania,711222,705715,298
Illinois,703990,712864,303
Ohio,730569,721032,312
Georgia,758387,691975,269
North Carolina,806776,733498,244
Michigan,713347,705974,278
New Jersey,740183,732658,240
Virginia,775956,727366,272
Washington,751489,672454,282
Arizona,808746,710224,209
Massachusetts,765834,727514,208
Tennessee,758797,705123,323
Indiana,748024,720422,406
Missouri,767179,748615,283
Maryland,755710,721694,218
Wisconsin,727804,710873,312
Colorado,822677,720704,261
Minnesota,704954,662991,329
South Carolina,735531,660766,327
Alabama,700455,682819,390
Kentucky,744612,723228,372
Oregon,843547,766215,249
Oklahoma,791394,750270,418
Connecticut,713057,714824,203
Utah,801490,690972,267
Iowa,788768,761717,496
Nevada,770039,675173,238
Arkansas,754451,728990,352
Mississippi,744037,742026,394
Kansas,728329,713280,369
New Mexico,698943,686393,327
Nebraska,644803,608780,457
West Virginia,597391,617670,416
Hawaii,707936,680151,199
New Hampshire,679856,658233,235
Maine,672106,664181,294
Montana,1068778,989417,399
Rhode Island,529681,526466,174
Delaware,973764,897934,282
South Dakota,884659,814180,441
North Dakota,762062,672591,836
Alaska,731545,710231,822
District of Columbia,—,—,241
Vermont,623989,625741,216
